AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LibraryLayout_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	time_s	treatment_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_line_s	source_name_s
50	SAMN05736269	SRX2144126	Illumina HiSeq 2000	SINGLE	1035	652	SRR4188730	SRS1675586	GSM2304928	0h	Untreated with Dox	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736268	SRX2144127	Illumina HiSeq 2000	SINGLE	1065	673	SRR4188731	SRS1675587	GSM2304929	24h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736267	SRX2144128	Illumina HiSeq 2000	SINGLE	948	601	SRR4188732	SRS1675588	GSM2304930	48h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736266	SRX2144129	Illumina HiSeq 2000	SINGLE	1610	700	SRR4188733	SRS1675589	GSM2304931	0h	Untreated with Dox	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736265	SRX2144130	Illumina HiSeq 2000	SINGLE	1573	680	SRR4188734	SRS1675590	GSM2304932	4h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736264	SRX2144131	Illumina HiSeq 2000	SINGLE	1702	737	SRR4188735	SRS1675591	GSM2304933	8h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
50	SAMN05736263	SRX2144132	Illumina HiSeq 2000	SINGLE	1638	709	SRR4188736	SRS1675592	GSM2304934	16h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
200	SAMN05736261	SRX2144133	Illumina HiSeq 2000	PAIRED	6574	2883	SRR4188737	SRS1675593	GSM2304935	0h	Untreated with Dox	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
200	SAMN05736260	SRX2144134	Illumina HiSeq 2000	PAIRED	7283	3180	SRR4188738	SRS1675594	GSM2304936	4h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
200	SAMN05736259	SRX2144135	Illumina HiSeq 2000	PAIRED	6722	2939	SRR4188739	SRS1675595	GSM2304937	8h	Dox treated	RNA-Seq	PRJNA342117	GEO	public	0	cDNA	TRANSCRIPTOMIC	2016-09-07	Homo sapiens	ILLUMINA	2016-11-16	SRP087439	BT168 glioblastoma stem cells (De Bacco et al., Cancer Res. 2012) with Dox inducible FLAG-Omomyc	BT168FO (Glioblastoma stem cells)
