task 1: 100 random numbers
i	binary	decimal	is_prime	fermat
0	1011100111011011	47579	False	False
1	1111001010100101	62117	False	False
2	1110011101001011	59211	False	False
3	1110101101010101	60245	False	False
4	1011100110111101	47549	False	False
5	1110010010101001	58537	True	True
6	1000100111111011	35323	True	True
7	1101100011101101	55533	False	False
8	1011011010101011	46763	False	False
9	1000111100011011	36635	False	False
10	1111011100110111	63287	False	False
11	1101100110010101	55701	False	False
12	1111000101010101	61781	True	True
13	1110100111111111	59903	False	False
14	1110010111011001	58841	False	False
15	1100100010010101	51349	True	True
16	1100000110010011	49555	False	False
17	1011100010010101	47253	False	False
18	1100100100010101	51477	False	False
19	1101010111110001	54769	False	False
20	1111010010100101	62629	False	False
21	1011001010111011	45755	False	False
22	1011011110010101	46997	True	True
23	1110001001111011	57979	False	False
24	1011001110001101	45965	False	False
25	1000001001001101	33357	False	False
26	1101110010110011	56499	False	False
27	1011101111111111	48127	False	False
28	1100010000111011	50235	False	False
29	1001011010011001	38553	False	False
30	1110001111010111	58327	False	False
31	1100010100111011	50491	False	False
32	1011101110000101	48005	False	False
33	1010100010001001	43145	False	False
34	1011000010100111	45223	False	False
35	1111011011110101	63221	False	False
36	1101110110000011	56707	False	False
37	1100001111010111	50135	False	False
38	1011000111001111	45519	False	False
39	1011110001110111	48247	True	True
40	1110100011010101	59605	False	False
41	1001010110110111	38327	True	True
42	1010011000100001	42529	False	False
43	1101111100101011	57131	True	True
44	1110000100000111	57607	False	False
45	1111101011100101	64229	False	False
46	1111010001101011	62571	False	False
47	1110011111100011	59363	False	False
48	1011000001010111	45143	False	False
49	1101101010101001	55977	False	False
50	1100111101001001	53065	False	False
51	1110110110100101	60837	False	False
52	1011011000001011	46603	False	False
53	1101111011100111	57063	False	False
54	1011110100100001	48417	False	False
55	1101101001010101	55893	False	False
56	1001011111011101	38877	False	False
57	1010001110100011	41891	False	False
58	1101001110111111	54207	False	False
59	1000010010111111	33983	False	False
60	1001000011001011	37067	False	False
61	1100111010111001	52921	False	False
62	1001111110101101	40877	False	False
63	1111010011101001	62697	False	False
64	1100101011001011	51915	False	False
65	1101000100111011	53563	False	False
66	1111111100110101	65333	False	False
67	1101011010111101	54973	True	True
68	1101001001010001	53841	False	False
69	1011011110100101	47013	False	False
70	1000110011100111	36071	False	False
71	1000111101000011	36675	False	False
72	1001000110111001	37305	False	False
73	1110001111110101	58357	False	False
74	1111000100101001	61737	False	False
75	1010011111010101	42965	False	False
76	1101101001000111	55879	False	False
77	1110100001100111	59495	False	False
78	1100011001111011	50811	False	False
79	1010101010101001	43689	False	False
80	1100101010110101	51893	True	True
81	1010010010011001	42137	False	False
82	1000110010100011	36003	False	False
83	1100110011101111	52463	False	False
84	1000100101111001	35193	False	False
85	1101111011010011	57043	False	False
86	1101011101111011	55163	True	True
87	1011010010000111	46215	False	False
88	1011001111010101	46037	False	False
89	1000000001000011	32835	False	False
90	1011110011000001	48321	False	False
91	1011011011111001	46841	False	False
92	1111011110111001	63417	False	False
93	1101100011110111	55543	False	False
94	1100110101001101	52557	False	False
95	1111000110001111	61839	False	False
96	1010111000000011	44547	False	False
97	1011110101000111	48455	False	False
98	1100100101100001	51553	False	False
99	1001010011011101	38109	False	False
primes:	11
false fermat tests:	0

task 2: chance of random prime
digits	randoms_before_prime
16	13
32	11
64	17
